Unordered,Synthetic,Real
0,0,42.97644468
0,0,44.59680679
0,8.178127847,54.15193181
0,4.701770582,50.99473141
0,11.7398471,39.00071084
8.045170147,3.711372171,26.3421682
0,6.77288442,14.68001561
16.68942663,7.132669794,11.94606807
7.947920254,7.479510163,5.266127728
6.277245053,11.76622044,0.12970758
0,8.156207106,0
22.61279613,8.469618805,0.098001282
0,18.5989969,5.122008195
22.29136166,52.06564911,3.308984473
18.9441396,66.81362281,3.369514677
22.46014822,0,2.395266635
15.59273703,43.67697533,3.147570596
67.90411763,67.90411764,12.4000446
32.88808876,70.61724832,36.0940819
8.558372269,43.9901203,34.54053884
79.5539821,43.54210894,25.37368494
5.231180871,31.26117357,20.92471497
7.614689326,12.37813271,32.01811948
7.98793585,8.558372271,33.58836729
26.6666884,23.83564997,34.4236055
45.18335383,0,34.39019597
0,0,32.08493853
15.54342471,0,25.7570429
60.94000599,0,32.35221476
4.776775468,1.329234062,22.49850026
4.770043861,0,14.68001561
8.469618803,0,11.94606807
0,4.1194433,5.266127728
7.724260731,2.606646546,0.12970758
0,1.977043254,0
0,0,0
0,0,1.155838653
6.408369466,0,2.02343824
3.671646879,0,2.732506342
0,0,3.983463886
5.72761113,0,3.801873275
11.80686295,0,5.966548657
1.190554631,0,8.4828757
25.23909696,0.601080879,10.14025033
0,1.556220418,6.410436818
15.22317578,0,6.381612912
31.48135723,0,8.183107072
0,0,7.286683578
0,1.190554631,6.626616118
0,5.376895799,6.217316645
0,5.20542318,5.018242132
3.94475924,7.042257438,3.594341148
0,7.307973133,1.640080283
0,8.494641195,1.299958186
3.557323229,0,0
0,8.330524821,0
4.1194433,5.96615668,0
0,4.115427953,0
0,3.203688961,0
1.254774363,3.043291452,0
72.83162996,1.381222624,0
4.930505056,1.38859397,0
4.977841406,0,0
5.854622811,0,0
1.079011228,0,0
10.36920319,1.604390932,0.123942798
79.5539821,0.572348764,17.99908845
2.563977735,6.128085002,10.20078053
0,0.702812068,6.053020377
0.766091772,2.859528711,4.776121317
33.6729893,9.686812397,4.193878404
72.91667516,9.506446611,5.831076297
9.933938823,23.73602478,2.181969726
0,8.332085369,8.062046664
8.52455899,56.69009366,15.62832214
5.470917843,7.594315618,16.20335907
5.197681598,5.231796197,21.69143088
1.38859397,76.2803817,22.14540741
1.381222625,3.229739478,17.64599559
0,3.66968111,0
2.903935819,34.01190663,2.553798121
5.978355988,3.816693456,7.439450283
3.203688961,6.796438821,3.536693335
0,45.79155603,3.888344995
0,22.22941019,6.63526329
4.447087126,19.2704491,4.453293563
23.40839082,9.986922484,1.397959468
35.36038103,5.846922688,0
17.40269489,4.563762997,0
45.71569872,3.469717776,2.052262147
0.914444161,0,5.542837231
6.043406414,0,5.738839796
0,1.426496769,7.445215064
79.5539821,2.562843177,20.62206395
9.815807482,6.323044856,10.09989686
7.195633446,9.696518714,2.81321328
57.09384347,6.719577521,0
0,17.4447807,0
78.51042026,38.73331348,0
3.828454918,35.95567041,0.30553341
33.08933309,66.13120631,4.557059627
0.952204297,22.98143557,5.637956123
6.433880199,71.63954295,7.327037047
65.98809214,0,15.18443397
0,7.776684269,5.453483121
0,4.865747293,0
0,0.790918944,1.729434393
1.052943203,1.052943203,0
38.26708799,0.548358033,0
7.216805475,0,1.622785939
2.748402257,0,2.360677947
0,2.100985325,0
21.75109493,0,2.585504418
0,0,7.923691913
75.87527622,0,24.94997352
74.43221164,0,5.384305745
4.148632894,4.148632893,0
4.596503662,0,4.162172107
42.07447918,2.967261593,0.812834165
4.551814964,4.287023452,0
52.33037324,8.818998717,0
0,17.324654,0
1.385689884,21.75109494,3.12162908
1.096557659,31.78239101,5.738839796
5.468188465,43.24938174,4.470587907
2.269963117,2.269963118,5.343952276
5.9818428,45.8603245,5.989607783
39.96045403,32.64831157,4.332233156
0,26.52609501,1.415253812
0,7.732159783,0
46.44051179,13.39861974,0
0,7.166366147,0
0,5.991151818,0
51.49957051,3.940623126,0
1.637156051,5.699022077,0
21.2897997,0,0
6.354886771,2.948808379,0
27.91198087,0,2.997686282
64.40273109,0,52.79884593
8.278879827,0,44.34623533
26.1867573,8.59658915,31.24970033
34.04807962,3.994398786,26.15048922
21.67713453,3.067834882,30.96571934
4.889820664,4.889820664,10.86661277
74.5272696,20.03568086,4.600295487
79.5539821,19.61694892,5.044183648
1.474342799,23.72869398,2.06379171
10.37503436,42.35899164,0
56.64476105,56.64476105,0.109530845
21.6376021,64.78784896,1.4498425
4.179040632,56.70289579,0
0,27.16497113,0
0,34.41424075,0
0,4.552412459,0
2.741042014,4.67641098,0
6.261369721,0,0
0,0,0
0,0,0
0,0,0
2.671052805,0,0
11.93346529,6.723559905,0
14.47335767,0,6.822618682
0,4.516270462,28.46000474
63.22589025,14.52044401,20.9146266
73.40137237,14.76750205,9.575301759
78.78584869,21.05603128,6.796677166
14.76750204,62.35094436,3.343573161
14.52044401,72.2177622,4.807827614
2.160138591,74.15847404,3.663518524
74.59053209,74.5905321,3.591458757
41.50671228,11.93346528,3.081275611
8.284667165,37.13308672,1.902377833
7.314957068,8.850229931,1.830318066
0,3.179019544,1.867789145
1.47950821,0,2.323206869
0,0,2.937156078
6.089433491,0,3.398338583
0,0,0
24.74252914,0,0
35.12094183,0,0
9.311773736,0,0
41.99821379,0,0
0,0.169872102,0
0,4.642939354,0.095118892
0,15.19364591,3.378161849
1.100771514,23.4849761,14.42780643
21.42758294,40.03429065,40.47073007
7.244400981,78.54922677,59.89837064
1.274897183,79.5539821,61.73589468
1.166107583,79.06705646,66.96448582
7.594917792,41.23436733,74.03214514
44.30995073,25.86650417,72.76595211
26.55094829,5.385283912,60.81713266
3.971435448,44.96895827,37.48057731
6.105762309,13.57234885,24.78855964
0,2.66706801,15.24496418
0,1.924604518,8.321461823
1.298849496,0,7.269389234
6.276904068,0,5.003830178
0,0,0.625478772
4.806863724,0,0
1.016469849,0,0
5.064021482,0,0
0,0,0
16.76899016,0,0
51.05483316,1.282694946,0
0,3.127552625,0
1.216785302,5.294562898,0.098001282
3.248761586,12.51335578,9.524859922
16.85188068,16.74087534,56.65764642
0,5.146974775,74.64362373
5.579240409,79.5539821,64.89309508
3.281171164,0,47.60366431
0,21.10386083,42.84280657
26.00852908,73.72931397,29.02796671
0,22.81437455,18.38244641
23.86893376,14.87214667,8.067811446
0,3.516316936,5.032654085
12.95097404,0,5.465012683
0,0,13.85276949
0.700612231,0,4.646413737
0,0,10.28148747
0.467182041,0,14.87169459
0,0,32.95358626
3.079913928,0,9.514771555
44.7776972,0,4.245761436
0,0,3.283042957
34.45539322,3.413153231,1.265369498
0,6.156732698,0
31.34953684,7.714256732,0
6.556032407,24.39622335,0
30.25779726,7.480377931,0
0,1.910013502,1.173132997
17.77574865,79.5539821,8.304167479
0,23.86893376,64.20819976
16.89954499,79.5539821,49.72516935
0,79.5539821,45.23158782
1.605662411,69.72550761,60.13223733
7.783894102,7.783894102,66.14595238
0,59.28747477,52.03042678
0,10.75602197,42.59223511
1.526862767,7.166793621,43.49429236
76.73309802,1.241631848,66.14595238
0,0,71.99388318
6.124916978,0,71.95064732
25.06056847,0,66.44663814
0,0,28.8943286
4.996319831,0,54.51943662
3.496268431,0,8.410815934
0,0,4.231349483
0,0,7.82280824
0,2.983555859,12.42022134
3.497148414,5.587287241,12.68251889
22.12034075,0.96776491,26.07987065
4.746381616,6.124916978,45.51556881
0,0,41.62335879
26.63880939,0,35.24213893
0.033054215,0,37.79796783
79.5539821,0.425038085,44.7304449
66.32334757,1.474225494,42.74257798
0,1.965966998,42.52541605
68.53600367,0.919974442,41.5732445
5.276842371,4.373728541,43.04326373
5.282015476,5.577664304,36.37806289
0,9.623986218,8.465581356
1.027576598,39.85436572,3.291690129
33.12900626,24.4299352,0
0,39.7732537,0
1.345632393,51.6763501,0
0,55.50018048,0
0,0,0
0,24.37976996,0
0,15.98418433,1.288428623
7.506513653,8.003372836,0
22.39054985,7.658851788,0
8.122870234,0.658522272,0
0,0.88712468,0
4.843523529,0,1.49596075
2.51834022,0,1.524784657
60.69400906,0,0.276709503
79.5539821,1.612120085,0.737892008
0,0,5.761898921
76.76239091,0,8.367580074
0,0,23.78981128
1.139478144,4.4569576,21.07604048
0,14.20147304,18.55394865
74.63255462,25.30943157,16.97007499
43.64321175,33.70609655,12.55137011
19.77155417,41.83032975,7.82569063
8.588060242,56.39860196,6.897560839
46.75306734,46.75306735,4.735767847
0,18.25556185,0.3084158
14.31159369,73.11612947,0
0.812107639,7.129598345,0
0,36.63518788,0
1.32543256,23.45627969,0
7.152392561,8.271990302,0
8.410127923,7.00433228,0
5.706082748,3.533370321,0
7.525446011,1.325432558,0
4.36999806,0,0
26.02065653,0,0.063412594
0,0,0
1.022080628,0,0
2.023286608,3.576192911,0
1.084954908,37.3544035,4.378351406
0.492109716,7.415912092,19.76455273
6.958843063,3.455032744,55.90593204
2.450739983,2.890904739,55.17092242
5.239776819,2.737553974,45.48215928
12.377276,0,37.39705349
7.911357971,0.938750674,25.45439188
78.53394009,1.894252754,16.85910295
20.86836231,1.084954909,8.197519025
7.304377726,0.035070334,3.908521729
3.432006448,0,4.312056421
0,0,4.202525576
7.236745797,0,2.233852758
5.20916076,0.796637881,0
7.204570962,1.840235981,0
0,4.269492998,0
0.236270145,0.670283886,0
0,5.413075651,0
0,1.657041096,0
0,7.880428159,0
16.610582,46.30760429,0
79.5539821,79.5539821,0
4.177967182,6.460279414,0
1.117559661,17.41270342,0
0,8.115266364,0
5.221724845,4.414312941,7.376037688
21.6223556,6.513146555,22.00417027
2.999559751,5.929113955,31.85107184
25.67805465,3.440415506,48.121512
68.70655325,0,58.26130376
1.291275561,0,40.22015861
0,0.879329539,19.05836702
8.608040926,0,15.73929418
6.54593929,0,19.00792518
1.292598218,0.833863316,26.73561453
73.10779853,0,30.96571934
7.350855298,0,17.61573049
0,0,14.21595071
1.526139483,1.127740976,49.50800741
0,2.604788089,22.23620271
0,3.430409848,6.205787082
0.078369838,14.2895853,4.753062191
0,5.908921675,3.412750536
0,1.761988997,1.954260865
2.347604637,60.61377026,0
6.885987461,73.10779853,0
74.25468,7.828345091,0
0,47.10902749,2.59415159
4.929223144,18.71021241,35.07509129
55.67943787,19.46700991,72.69183349
16.08687817,53.68809687,66.880962
6.799369748,34.69443739,8.096635352
3.626997629,14.47839655,40.30368243
52.83804526,7.055121176,36.11078666
72.3619121,5.626664607,44.37964486
6.148223751,1.11046176,60.34939927
14.92680232,0.88517319,65.99560951
0,0,44.41305438
0,0,19.79481783
3.47656195,1.822997862,17.62581886
1.899971799,0.126096633,7.511510049
0,0,6.692911103
0,0,6.119315362
0,0,3.69234243
0,0,0
0.320384698,0.320384699,0.420829036
13.22552499,1.593246405,1.328782092
8.025054824,5.872352288,0
5.140775513,2.578950704,0
0,21.90326332,0
0,0,0
0.208163633,55.34501987,0
0.528317591,11.46803132,0
79.5539821,15.01148341,62.32056142
0,6.477711356,37.1631868
4.032204108,4.522304151,30.74855741
16.12930889,2.696919316,36.87920581
1.62101706,0,25.86801494
64.43635788,5.128031386,31.40004321
0,4.180804387,31.14947175
0,0,20.29923619
63.71113243,2.324410902,21.65107741
11.25240213,0,32.40232905
3.245798023,0,38.14876787
0,0,59.98189446
0,0,51.64621721
0,2.782072853,41.20573969
5.620591466,3.851258413,8.246519666
0,5.437897482,0.26229755
23.19389455,8.100295644,3.173512112
4.720523312,25.20300881,5.554366794
3.287919982,33.77444501,7.701747832
1.101775044,0.386860219,6.266317286
69.65854144,69.65854144,7.061857107
6.252415591,72.98106452,2.752683076
66.91514937,46.01631182,3.259983832
3.358731658,71.25150577,4.386998578
4.707989621,8.604114429,20.71285925
42.19629231,23.48037121,55.05398907
2.408274893,5.645284599,72.33977006
4.324417971,29.41663833,79.5539821
3.894586362,2.957946699,72.30271075
0,3.65561286,37.59751066
2.978156447,1.01010859,46.03341649
4.394009777,0.320397838,44.7304449
79.5539821,0,13.31808603
9.129127687,0,14.45807153
0,0,12.51101664
2.943455354,0,14.93222479
0,0,21.30807292
0,0,11.18944053
5.435462923,0,1.71502244
0,0,0
6.205122296,0,0.446770552
0,0,0
3.917820267,6.075031118,0.26517994
0,0,2.954450422
0,1.240096404,1.608373986
0,0.785870858,1.703492878
0,74.93408237,3.5165166
1.902118581,72.0038195,13.43914643
74.61284291,79.5539821,24.26396454
79.5539821,22.53817472,33.65518635
0.173183292,7.282615903,41.10551111
1.292852763,11.98950708,18.88686477
60.69750486,34.94585845,6.551673961
56.26037356,5.542914767,4.303409249
6.105320949,8.532258195,2.493267917
49.78808448,0,0
9.050012531,4.810681446,0
3.952824643,20.4861144,0
18.18700212,7.990284647,0
0,0,0
27.32231394,0,1.501725532
5.638024078,4.668525442,4.568589189
7.701155743,1.184591147,0.622596382
4.993210703,4.755696224,0
4.884601402,9.114110778,0
10.77455115,13.29745018,0
0,19.04061306,0
4.532855431,34.11682515,0
0,25.67535211,0
3.192650531,31.19591784,0
21.09528505,26.49805221,0
43.4135662,16.03119244,4.960594319
79.5539821,7.26323522,25.2627129
2.106067483,13.62124134,42.35836841
5.070889742,7.911904385,33.47143395
2.604104605,2.939335726,17.89820478
16.4880485,1.419552031,12.31933766
0.652045585,0,8.185989462
22.21236337,0,5.150832102
5.418357472,0,2.000379115
0,0,0
0,0,0
4.277698202,0,0
0,0,0
6.695848139,0,0
0,0,0
0,0,0
0,5.531037859,0
1.989824438,1.208494672,0
8.132029552,0.327441648,0
5.574857598,5.316483349,0
0.041202749,12.5798663,0.26229755
0,67.84995728,2.663328966
7.049964103,12.28202733,3.706754383
1.29441528,8.367119709,5.885841719
12.43419965,13.59278991,9.777069104
39.19226657,32.97475795,19.84525967
2.418279493,71.65641099,22.53885373
1.857703154,57.27743882,18.42279988
16.41800156,31.1692834,30.91560505
30.34762407,29.99874809,38.95059655
0.47346146,20.21689586,41.77370167
18.09962599,20.33936562,34.00598639
24.57956673,0,30.03025256
63.60021069,0,29.82979539
8.356988171,0,46.83524517
8.202630987,0,65.74503805
11.81981055,0,58.39494188
19.47879944,4.823108547,59.71461823
14.99795811,0,60.24917068
1.91389302,1.913893021,35.45930087
18.84501523,3.341034732,6.557438742
0,6.915556091,8.370462464
0,14.99795811,12.8641095
61.30480838,19.47879944,6.499790929
